publishedAt,authorDisplayName,textDisplay,likeCount
2024-06-06T18:41:55Z,@Islamic_channel1465,"Kok rasanya kaya di iris2😭 mendengarnya ,,ya Allah semoga engkau mempercepat kemerdekaan saudara kami palestina 🇮🇩🇲🇾❤️💯❤️🇦🇪 dan semoga Allah menempatkan tempat yang terbaik saudara kami yang sudah meninggal dibantai😭😭😭,,.dan semoga Allah memberikan neraka yang paling berat oleh para zionis dan komplotanya aamiin",0
2024-06-06T17:37:25Z,@bintmuh7857,Narasumber yg tepat👍🏻,0
2024-06-06T16:16:58Z,@fijjilante-xw9do,HOE MANUSIA PEMBOHONG...JANGAN MENYEBAR HOAX....HIDUPMU BAKAL SUSAH KEDEPAN BRO,0
2024-06-06T16:15:54Z,@IBHobbies,Terimakasih banyak ustad husein dengan kontribusi nya yang sangat menyentuh hati. Semoga sehat selalu dan berakhir dengan kemenangan palestina,0
2024-06-06T15:55:51Z,@rosipardi5376,Free palestine sedih bgt yaa allah 😭😭😭,0
2024-06-06T15:50:19Z,@Fengasong,Kalo Palestina merdeka pahlawannya adalah pejuang yg berhasil menculik wanita dan anak-anak 😂,0
2024-06-06T15:31:51Z,@Fengasong,Bla.. bla.. bla..<br><br>Sumber: Katanya,0
2024-06-06T15:22:16Z,@fatma_3rasyidmani74,Cakep nih.. statemen nya.. kebenaran itu simpel... sedang kan kejahatan itu rumit...,0
2024-06-06T15:19:19Z,@kangkomenYT,"<a href=""https://www.youtube.com/watch?v=0cbvR_8Xtrk&amp;t=1545"">25:45</a> <br><a href=""https://www.youtube.com/watch?v=0cbvR_8Xtrk&amp;t=1545"">25:45</a> <br>buat loe yang merasa seperti ini gw mau bilang buat loe, pemikiran loe terhadap hak asasi manusia dimana heran gw, otak loe di pake ke arah mana hah !! coba loe pikirin loe semisal bertugas/ kerja lah di luar pulau loe dan suatu ketika loe di kasih kabar keluarga loe tiba tiba di rumah di bunuh srentak apa tanggapan loe terhadap sangkutan ini sebagai keluarga..?? kalau di ibaratkan pakai akal sehat bila loe gak mampu mikir...!!!!",0
2024-06-06T15:19:17Z,@idarulichannel1737,AllohuAKBAR,0
2024-06-06T14:48:07Z,@latifahlatifah6125,Kenapa PBB UNICEF hanya diam fungsi nya dimana ngk mampu melindungi warga Palestina yg teraniaya genosida dibiarkan  merajalela,0
2024-06-06T14:13:07Z,@GhaThayeu,"bener adanya, ada beberapa channel luar negeri yang membahas ini .<br>israel itu udah jd tempat terburuk. mereka itu lebih keji dari nazi. namanya nazionist.",0
2024-06-06T13:59:18Z,@lilyaudrey67,Palestine will be free soon,0
2024-06-06T13:51:01Z,@RivaldiJambi,"Di balik tragedi kemanusiaan di palestina di situ di tuntut di mana hati nurani manusia,,,",0
2024-06-06T13:15:02Z,@LourettaGreener769,"Hadeeeew Datanya kok dari<br>&quot; temen saya ,  sampeyan tuh harusnya lihat sendiri apa bener manusia dikulitin kulitnya ,jangan suka nebar Hoax lah",0
2024-06-06T12:25:32Z,@dutaherbal8092,Natanyahuuu waktu nya ganti di kulit😡😡😡,0
2024-06-06T12:21:14Z,@rezacongoer1066,"Kita lo gue jauhhh.,",0
2024-06-06T12:19:44Z,@rezacongoer1066,Kerja Terja Reza congoer.,0
2024-06-06T12:18:39Z,@rezacongoer1066,"Jadi mereka gengsi nya nauzdubillaminzalid.,🥰😇",0
2024-06-06T12:15:22Z,@rezacongoer1066,"Mau mendapatkan apa sih,Restya mungkin hadiah nya🤩😍🥰Kakeknya pasti hud hud,.kalo aku om pasti habiskan duitnya Riza kalo udah di simpang Tower disana??",0
2024-06-06T12:12:20Z,@rezacongoer1066,"Aku aku aja sampe puko,Taufik Riza Fahrul,Bayu",0
2024-06-06T11:13:50Z,@nurhaliza7193,"Wkwkwk awalnya gua ngikutin ni orang dan gua suka liat konten2 dia di Gaza. Skrg gua ga percaya sama dia hahaha semenjak kasus ACT yang korupsi duid milyaran. Dia termasuk salah satu aktivis act untuk palestina. Trs gua komen di sosmed nya tentang korup ini, komen gua diapus anjeng hahahaha trs pokonya akun dia yg berhubungan dengan ACT diapus diganti yang baru.",0
2024-06-06T17:04:48Z,@H46rossikin,"Kalo bodoh gak usah ngajak2. Jgn kan ACT, propaganda sekelas sadam husein saja di bilang pnya senjata masal, jadi apapun yg bisa membantu Palestina mereka tidak segan2 menghabisi dg cara apapun salah satu adalah fitnah dan adu domba.",1
