reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
03ffd4db-5ad6-4d98-a3da-f76f0f396297,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantap,5,0,,2024-06-08 05:56:05,,,
fccb2c22-1b52-4986-b809-2a1400f97290,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aku suka sama aplikasi ini💓,5,0,35.1.3,2024-06-08 05:55:52,,,35.1.3
fb3f693d-85df-46e2-9161-5230a0385387,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Knp updet 3 hari satra bisa buka lagi ini aplikasi,1,0,,2024-06-08 05:55:50,,,
eb9885bd-b6d4-43a7-bb04-e17887fa6324,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sangat bagus,1,0,35.0.4,2024-06-08 05:54:18,,,35.0.4
c5d50164-8d33-4d1e-9463-842e23719b39,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplikasi nya bagus,4,0,,2024-06-08 05:53:56,,,
431715a6-d8b9-4ed2-914c-b9644b71a497,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tiktok mantap,5,0,35.0.4,2024-06-08 05:53:42,,,35.0.4
ff6300aa-1d02-4bbd-8792-31b3f4bdf0a8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplikasi ny bagus sih💔💔💔💔💔💔💔💔💔💔✨💔💔💔💔💔💔💔,5,0,35.0.4,2024-06-08 05:51:54,,,35.0.4
bec93e64-e3dd-4435-94da-5bf988e1ad78,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Suka ngebug gaje harus di perbaiki lagi,3,0,34.8.4,2024-06-08 05:49:43,,,34.8.4
e8c83b76-4610-4340-8ef0-089ca4726ea2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Good,5,0,34.5.6,2024-06-08 05:49:13,,,34.5.6
c237c197-6151-4725-b8f9-221b0b59f8d9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tiktok aku nga bisa login,2,0,,2024-06-08 05:48:38,,,
57d33f6a-6bac-4ebb-a508-2c9bec9c92ff,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Asik selama ada tik tok,3,0,,2024-06-08 05:47:20,,,
bc84cb2d-68cf-4cf4-a1e0-86002ac2a357,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,lumayan bagus tapi juga asik,4,0,35.0.4,2024-06-08 05:46:45,,,35.0.4
fc8cafe8-f650-4158-b070-7904de63e682,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Seru ae,5,0,35.1.1,2024-06-08 05:46:14,,,35.1.1
139b8af4-ed85-4faf-b4a8-727ef7bf077b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,tik tok nya seru deh,3,0,,2024-06-08 05:45:51,,,
fe94f8e5-2581-4203-8322-2760fc0a75af,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ok,5,0,35.0.4,2024-06-08 05:45:30,,,35.0.4
d84bc0e3-3e14-46eb-88b1-c2047f3ba976,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tiktokkk sangatttt baguss dari pada app lainn,5,0,34.5.6,2024-06-08 05:45:12,,,34.5.6
f7afe206-788f-47aa-b324-c30964451dd6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ok,5,0,35.1.3,2024-06-08 05:44:50,,,35.1.3
20b996d8-1f89-4c34-974c-4cdbd69db486,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Lama banget mengintalnya,1,0,34.5.6,2024-06-08 05:43:34,,,34.5.6
67754077-56c4-477d-905d-6512bb1e948e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ga jelas,5,0,35.0.4,2024-06-08 05:42:57,,,35.0.4
89cb9d2f-e4e6-45e0-bf54-e56243121274,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sangat buruk makin kesini makin susah di buka aplikasi nya kadang keluar dngan sendiri nyaa,1,0,25.7.4,2024-06-08 05:41:32,,,25.7.4
ca434109-fd96-41f0-9288-d86175e00674,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aku pingin aku dulu ku kembali,1,0,35.0.4,2024-06-08 05:41:10,,,35.0.4
b6e1b2db-f556-42b0-ad15-447ce22e6228,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Assalamualaikum,1,0,,2024-06-08 05:40:55,,,
2ec2043d-6e97-427d-8139-39daa1298e4e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Jelek,1,0,,2024-06-08 05:40:53,,,
a532b2e2-9be1-41ae-9a17-322bfa529d5f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tik tok seruh banget banyak iburan,5,0,32.5.3,2024-06-08 05:40:45,,,32.5.3
c92e0161-0de4-447c-a79b-a0d47e921f0e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Okee,5,0,,2024-06-08 05:40:27,,,
d188ecda-685e-49bb-88ed-d72500f997ef,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagus banget aku jadi pengen buat pinter lagi,5,0,,2024-06-08 05:40:14,,,
18f0355a-67a0-4f0e-90c5-ee59471a077a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tauau,5,0,,2024-06-08 05:40:14,,,
332c6d83-761b-4d54-b30e-0dd8cf6a4365,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,lorong bola 7 E,5,0,35.0.4,2024-06-08 05:39:38,,,35.0.4
b9ca0876-1501-4355-ba0a-3fa82e42d037,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Biar bintang yg berbicara,5,0,,2024-06-08 05:39:20,,,
51e42644-ec2d-450a-b385-51326247fe6d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,😙,5,0,,2024-06-08 05:38:35,,,
0fec9b9c-92ac-4b2a-99f6-ba2b46a82931,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sangat berguna untuk informasi yang viral di dunia,5,0,34.9.4,2024-06-08 05:37:05,,,34.9.4
b78c8d0e-09bc-4715-b032-a7872abf99e2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sangat membantu,5,0,35.0.4,2024-06-08 05:36:06,,,35.0.4
4be1b003-39f6-4bd4-8830-e47039ac38a4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,saya gabisa repost sorry,4,0,,2024-06-08 05:35:44,,,
4bbea3a7-b86d-45fd-99d2-ce12b3fa381a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tidak bisa di download, tapi isi vidio aman",2,0,34.4.3,2024-06-08 05:35:37,,,34.4.3
c15e00da-1f06-4b1e-8e95-37bc2cecc333,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Saya mau masuk,4,0,,2024-06-08 05:35:09,,,
78f58709-292d-44eb-9a7f-9baf767301f9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Apalah Ga Enak Saya Sebagai Raja Suki Tidak Setuju🤓😹,1,0,25.5.4,2024-06-08 05:33:06,,,25.5.4
b261dde9-4824-481b-82ed-9d9bf7a5a801,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,👍👍 ',5,0,35.0.4,2024-06-08 05:32:33,,,35.0.4
6e69bc52-67bd-4f17-9f35-4429a8dbd43a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Mending download ini deh jangan tiktok lite gak bisa cari lagu SMA filter ya,5,0,,2024-06-08 05:30:51,,,
7fa71694-3261-43c2-9b22-10629c039399,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aku sangat suka nonton tiktok sampai sekarang,5,0,,2024-06-08 05:30:00,,,
612a8e09-5564-4029-8d8e-79b4c953e5fd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,seruuuy,5,0,,2024-06-08 05:29:58,,,
779b0170-bd2d-4162-ad24-a0bf50be37cb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Seru dan kita dapat berkomunikasi lewat tiktok juga fitur""nya baguss sya sangat suka skli",5,0,,2024-06-08 05:29:37,,,
